source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
MEOX1	DPPA2P1	MEOX1	DPPA2P1	0.1773	-0.0801	-0.0452	-0.0677	0.4033
MEOX1	DPPA3P3	MEOX1	DPPA3P3	0.1670	-0.0766	-0.0638	-0.0962	0.4244
MEOX1	DPRXP1	MEOX1	DPRXP1	0.1841	-0.0151	0.0237	-0.0150	0.8747
MEOX1	DPYSL4	MEOX1	DPYSL4	0.1527	0.2002	0.1558	0.1719	0.0351
MEOX1	DRAXIN	MEOX1	DRAXIN	0.1617	0.3179	0.3317	0.2917	0.0007
MEOX1	DRC7	MEOX1	DRC7	0.2353	-0.1480	-0.0999	-0.1317	0.1211
MEOX1	DRICH1	MEOX1	DRICH1	0.2732	0.1804	0.1553	0.1750	0.0582
MEOX1	DSC1	MEOX1	DSC1	0.1468	0.4514	0.3982	0.4019	0.0000
MEOX1	DSCR9	MEOX1	DSCR9	0.1956	0.1042	0.0949	0.0715	0.2765
MEOX1	DSEL	MEOX1	DSEL	0.2527	0.3636	0.3052	0.2836	0.0001
MEOX1	DST	MEOX1	DST	0.1890	0.4891	0.5201	0.5931	0.0000
MEOX1	DTHD1	MEOX1	DTHD1	0.1710	0.5719	0.5639	0.7448	0.0000
MEOX1	DTL	MEOX1	DTL	0.2633	-0.0989	-0.0660	-0.0754	0.3018
MEOX1	DTWD1P1	MEOX1	DTWD1P1	0.2574	-0.0339	-0.0020	-0.0280	0.7242
MEOX1	DTX3L	MEOX1	DTX3L	0.1961	0.2514	0.2015	0.1556	0.0078
MEOX1	DUOXA1	MEOX1	DUOXA1	0.1885	-0.0793	-0.0705	-0.0665	0.4079
