,x,y
DDX11-AS1,3.2556396,1.7399536
DDX19A-DT,3.2677884,1.8693584
DDX39B-AS1,-1.2791059,3.3414729
DDX3ILA1,0.32700068,3.2961802
DDX59-AS1,1.2230418,4.2835755
DELEC1,4.17556,3.3770633
DENND2B-AS1,-2.44229,2.733723
DENND3-AS1,4.4630995,1.981724
DENND5B-AS1,-0.61337465,4.0033674
DENND6A-AS1,-1.992161,2.6822932
DENND6A-DT,1.9782686,4.1575594
DEPDC1-AS1,-0.9105461,4.6601367
DEPTOR-AS1,0.88545674,3.7307088
DGAT2-DT,-5.0504346,2.6289046
DGCR11,4.6212997,1.8383594
DGCR5,4.918509,2.6776452
DGUOK-AS1,4.1020203,1.7685555
DHCR24-DT,-0.27799368,4.3395133
DHDDS-AS1,2.7757564,2.6489167
DHRS4-AS1,6.1651797,2.6842086
DHRSX-IT1,-0.5849492,4.5336347
DHX33-DT,-5.416398,4.4787884
DHX35-DT,-2.361043,4.7609854
DHX9-AS1,3.7371867,2.4953446
DIAPH1-AS1,-0.41321892,2.373312
DIAPH2-AS1,1.9869153,3.13362
DIAPH3-AS1,-4.804174,3.2939358
DIAPH3-AS2,-4.367983,3.3550406
DICER1-AS1,5.3520694,2.8227777
DINOL,-0.86715555,4.0757003
DIO2-AS1,-2.3204422,2.8324485
DIO3OS,2.340578,2.057922
DIP2A-IT1,-0.50530773,2.662858
DIP2C-AS1,2.2160664,2.7108252
DIRC1,-3.7584817,4.4337564
DIRC3,2.9514997,2.5458841
DIRC3-AS1,3.5752797,3.3240845
DIS3L-AS1,-4.7502227,3.4323473
DISC1-IT1,3.7146204,3.5486352
DISC1FP1,-1.1463428,3.5893419
DLEU1,6.0904355,2.7556434
DLEU2,6.044694,2.8772721
DLEU2L,2.9013228,2.554715
DLG1-AS1,-1.3540505,5.0350456
DLG2-AS2,-3.337631,2.6396267
DLG3-AS1,-2.5838523,5.058717
DLG5-AS1,3.4123926,2.8241515
DLGAP1-AS1,4.795605,1.9822954
DLGAP1-AS2,5.124271,2.687979
DLGAP1-AS3,2.0073018,3.4567873
DLGAP1-AS4,1.375545,4.158206
DLGAP1-AS5,0.52760154,2.9975128
DLGAP2-AS1,-4.438871,3.1409545
DLGAP4-AS1,2.661112,2.4321272
DLX2-DT,-1.4665611,5.1326156
DLX6-AS1,4.0262403,3.188169
DM1-AS,2.3072453,1.9279362
DMD-AS3,-3.7291324,3.21651
DMTF1-AS1,2.7699053,1.5316527
DMXL1-DT,1.6080419,3.5676446
DNAAF3-AS1,-2.4350832,4.986187
DNAAF4-CCPG1,0.34638637,2.9970875
DNAH10OS,4.2463956,2.307296
DNAH17-AS1,2.8836598,3.659794
DNAH8-AS1,-4.9750977,3.3585725
DNAH8-DT,-4.066535,4.312805
DNAJA2-DT,2.4976363,2.2500951
