pmcid	pmcidTitle	table	column	description	geneSetSize	nOverlap	oddsRatio	pvalue	adjPvalue	geneSetHash
PMC9910187	Construction and validation of a fatty acid metabolism-related gene signature for predicting prognosis and therapeutic response in patients with prostate cancer	peerj-11-14854-s001.xlsx	Table_S5-Table_S5_The_table_of_differentially_expressed_genes_between_high-_and_low-risk_subgroups_in_the_TCGA_cohort	(MSigDB; https://www.gsea-msigdb.org/gsea/msigdb), and 309 fatty acid metabolism-related genes were retrieved after removing overlapping genes (**Table S1**)  Supplementary Information.Table S1. The list of fatty acid-related genes. Table S2. Clinical characteristics of patients with prostate cancer in the TCGA cohort. Table S3. Clinical characteristics of patients with prostate cancer in the GEO cohort. Table S4. The table of differentially expressed fatty acid-related genes between tumor and normal cases in the TCGA cohort. Table S5. The table of differentially expressed genes between high- and low-risk subgroups in the TCGA cohort. Table S6. GO enrichment of significant differentially expressed genes between the high- and low-risk subgroups in the TCGA cohort. Table S7. KEGG enrichment of significant differentially expressed genes between the high- and low-risk subgroups in the TCGA cohort  Click here for additional data file	622	25	10.50581251545882	2.8427666705999786e-19	4.809312314262961e-15	b1af525c-2942-5b85-95b6-0d7334410c19
PMC9281181	SLC26A4 correlates with homologous recombination deficiency and patient prognosis in prostate cancer	12967_2022_3513_MOESM11_ESM.xlsx	cluster_1_and_2-Table_S8_1_Differentially_expressed_genes_between_HRD_cluster_1_and_cluster_2	hub genes when intersecting three group-paired differential expression analyses (DEGs) (Fig. 6A; Additional file **11**)  Additional file 11: Table S8.1. Differentially expressed genes between HRD cluster 1 and cluster 2. Table S8.2. Differentially expressed genes between HRD cluster 1 and cluster 3. Table S8.3 Differentially expressed genes between HRD cluster 2 and cluster 3	948	29	7.995942875689711	3.291209892589594e-19	5.449508311833215e-15	25213ab7-3c14-5562-979e-777cddd7ab6c
PMC6109081	ESCC ATLAS: A population wide compendium of biomarkers for Esophageal Squamous Cell Carcinoma	41598_2018_30579_MOESM3_ESM.xlsx	MolecularFunction-ensembl_gene_id	and the number of genes associated to them are shown in the Dataset # **3**  Dataset 3	2183	40	4.789456992846823	4.1919836648278366e-19	6.796384516091656e-15	e45f5bd3-142c-5e0d-bfe9-0f18a5268cb4
PMC8343164	A single cell atlas of human cornea that defines its development, limbal progenitor cells and their interactions with the immune cells	mmc13.xlsx	13-14_PCW-Unnamed_0	Multimedia component 13	1700	36	5.581166164796058	4.649025259536696e-19	7.383553453776225e-15	af561f14-da9f-53de-a176-e37e9777e7d2
PMC11757262	Development and validation of a glycolysis-associated gene signature for predicting the prognosis, immune landscape, and drug sensitivity in bladder cancer	Table4.xlsx	F-B_diff-id		961	29	7.8877771552069165	4.761922880112359e-19	7.411599628293278e-15	e933ce7b-70ae-5061-90a5-9d03043c2b39
PMC8725365	Screening and analysis of RNAs associated with activated memory CD4 and CD8 T cells in liver cancer	12957_2021_2461_MOESM2_ESM.xlsx	Sheet1-gene	The aim was to screen immune-related differential genes in liver cancer. In total, 10,**2**  Additional file 2: Supplementary file 2	1942	38	5.125188536953243	5.399123861550155e-19	8.238586619443634e-15	a3dfb577-2da8-5311-9637-05a802139902
PMC8343164	A single cell atlas of human cornea that defines its development, limbal progenitor cells and their interactions with the immune cells	mmc13.xlsx	12_PCW-gene	Multimedia component 13	1695	36	5.551531654186522	5.533499384930447e-19	8.281254276622399e-15	0d23ed9c-5b38-5a05-a8d6-c109e54a4747
PMC5309787	Molecular dissection of colorectal cancer in pre-clinical models identifies biomarkers predicting sensitivity to EGFR inhibitors	ncomms14262-s12.xlsx	OT_primary_tumors-Unnamed_1	Supplementary Data 10Gene signatures used for the classification of OT primary tumour samples and models	1953	38	5.08843001261034	6.9106976073799685e-19	1.0147185921749438e-14	6dc4046b-4319-5a46-9e56-4e7baa06ee7e
PMC6109081	ESCC ATLAS: A population wide compendium of biomarkers for Esophageal Squamous Cell Carcinoma	41598_2018_30579_MOESM3_ESM.xlsx	BiologicalProcess-ensembl_gene_id	and the number of genes associated to them are shown in the Dataset # **3**  Dataset 3	1485	34	5.984563584563585	8.13791984915476e-19	1.1727872769277726e-14	bb08b65a-ae46-5adf-9686-a3ab88f81c9a
PMC6109081	ESCC ATLAS: A population wide compendium of biomarkers for Esophageal Squamous Cell Carcinoma	41598_2018_30579_MOESM3_ESM.xlsx	MolecularFunction-external_gene_name	and the number of genes associated to them are shown in the Dataset # **3**  Dataset 3	2228	40	4.692721999723795	8.721199649106872e-19	1.2173255766416504e-14	9b517514-5fdd-594e-b0ba-bb822f302e79
PMC12128233	Targeting INF2 with DiosMetin 7-O-β-D-Glucuronide: a new stratagem for colorectal cancer therapy	12885_2025_14357_MOESM2_ESM.xlsx	Sheet1-IGHG2		1719	36	5.474023358840113	8.75981988164356e-19	1.2173255766416504e-14	3fda2084-794e-520b-9eeb-1be1bd9b51e8
PMC7249423	Microenvironment characterization and multi-omics signatures related to prognosis and immunotherapy response of hepatocellular carcinoma	40164_2020_165_MOESM2_ESM.xlsx	Table_S1-Unnamed_1	that 3 immune subtypes were identified in 374 HCC samples (Additional file 3: Fig. S**2**)  Additional file 2. Additional tables	997	29	7.618245071511403	1.2197148083625503e-18	1.665263788754144e-14	fdf79eed-aff4-5798-9094-86db80c2f13f
PMC11625674	A novel necroptosis-related genes signature to predict prognosis and treatment response in bladder cancer	Table1.xlsx	Supplementary_Table_4-Supplementary_Table4_2000_DEGs_by_differential_gene_expression_analysis		1986	38	5.001316910682469	1.2480895893340315e-18	1.674624206488937e-14	7464f004-0884-564d-86a3-f3ceef18c820
PMC11452211	Lack of SMARCB1 expression characterizes a subset of human and murine peripheral T-cell lymphomas	41467_2024_52826_MOESM4_ESM.xlsx	S3-Unnamed_42		1193	31	6.792056225417499	1.4212654472624878e-18	1.843416816735628e-14	fee91200-5588-5fd7-b025-3add0e1bde2d
PMC10354071	Cancer-associated fibroblast classification in single-cell and spatial proteomics data	41467_2023_39762_MOESM8_ESM.csv	gene	as well as pericytes (Fig. 3b, c, Supplementary Fig. 6a, b and Supplementary Data **5**)  Supplementary Dataset 5	1193	31	6.792056225417499	1.4212654472624878e-18	1.843416816735628e-14	707486a6-046c-51fd-80d0-54c633a464bb
PMC10142806	Single-cell sequencing reveals the immune microenvironment landscape related to anti-PD-1 resistance in metastatic colorectal cancer with high microsatellite instability	12916_2023_2866_MOESM5_ESM.xlsx	train_monocle_DEG-gene_short_name	feature genes were found to be differentially expressed among the cell subpopulations (Additional file **5**)  Additional file 5: Table S4. 1623 differentially expressed genes in 9 cell subsets	1515	34	5.866057374968266	1.513167160215973e-18	1.917117064060908e-14	63a8271d-c9f7-5999-a094-c39d7c45c076
PMC10142806	Single-cell sequencing reveals the immune microenvironment landscape related to anti-PD-1 resistance in metastatic colorectal cancer with high microsatellite instability	12916_2023_2866_MOESM6_ESM.xlsx	Monocle_Time_diff_all-gene_short_name	Developmental trajectories were simulated for the nine cell subtypes, and 1**6**  Additional file 6: Table S5. 1454 pseudotime-related genes were identified from 1623 feature genes	1515	34	5.866057374968266	1.513167160215973e-18	1.917117064060908e-14	63a8271d-c9f7-5999-a094-c39d7c45c076
PMC11696116	Enterocyte-like differentiation defines metabolic gene signatures of CMS3 colorectal cancers and provides therapeutic vulnerability	41467_2024_55574_MOESM6_ESM.xlsx	Supplementary_Figure_5a-Supplementary_Figure_5a		1630	35	5.612553091080699	1.527357580768506e-18	1.917117064060908e-14	7237a2dc-07dd-56a9-b773-c61d9791c5a6
PMC6109081	ESCC ATLAS: A population wide compendium of biomarkers for Esophageal Squamous Cell Carcinoma	41598_2018_30579_MOESM3_ESM.xlsx	BiologicalProcess-external_gene_name	and the number of genes associated to them are shown in the Dataset # **3**  Dataset 3	1517	34	5.858323614421176	1.5762696351524047e-18	1.9471058319367122e-14	eef244a6-50db-5155-810d-532daadbcf90
PMC11696116	Enterocyte-like differentiation defines metabolic gene signatures of CMS3 colorectal cancers and provides therapeutic vulnerability	41467_2024_55574_MOESM6_ESM.xlsx	Figure_3a-Unnamed_1		1633	35	5.602242215836827	1.6192210317219378e-18	1.9689095237523246e-14	605e1e5f-6430-57f6-af61-168344193c0c
PMC11077862	Machine learning-based algorithm identifies key mitochondria-related genes in non-alcoholic steatohepatitis	12944_2024_2122_MOESM2_ESM.xlsx	Table_S8-mRNA_DEGs_in_Tumor_and_Normal_Groups_n_2145		2137	39	4.770238652316331	1.757754081690972e-18	2.104477834897138e-14	0b4d7c8c-7753-5c6b-bab3-3a7bee2a8de0
PMC10012538	Constructing a novel mitochondrial-related gene signature for evaluating the tumor immune microenvironment and predicting survival in stomach adenocarcinoma	12967_2023_4033_MOESM10_ESM.xlsx	Table_S8-mRNA_DEGs_in_Tumor_and_Normal_Groups_n_2145	validation cohorts, GSE66229 and GSE15459, were applied in the present study (https://www.ncbi.nlm.nih.gov/geo/). In GSE15459, **10**  Additional file 10: Tables S1–S14. Table S1. The list of mitochondrial-related genes. Table S2. The list of carcinoma associated fibroblast up signatures (n=24). Table S3. The list of carcinoma associated fibroblast down signatures (n=24). Table S4. The list of ECM and Collagen signatures (n=225). Table S5. The list of matrisome signatures (1026). Table S6. The primer sequences. Table S7. The list of all DEGs in tumor and normal groups (n=2381). Table S8. The list of protein-coding DEGs in tumor and normal groups (n=2145). Table S9. The list of mitochondrial-related DEGs (n=183). Table S10. GO terms in tumor and normal groups. Table S11. KEGG terms in tumor and normal groups. Table 12. The list of DEGs in high and low risk groups (n=298). Table S13. GO terms in high and low risk groups. Table S14. KEGG terms in high and low risk groups	2137	39	4.770238652316331	1.757754081690972e-18	2.104477834897138e-14	0b4d7c8c-7753-5c6b-bab3-3a7bee2a8de0
PMC11077862	Machine learning-based algorithm identifies key mitochondria-related genes in non-alcoholic steatohepatitis	12944_2024_2122_MOESM2_ESM.xlsx	Table_S7-Unnamed_1		2142	39	4.761326482951892	1.876422556092016e-18	2.2125154234684063e-14	1739ed2f-f169-5d3e-bbed-075025146d49
