Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_Reactome_2022.gmt	Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782	2/81	3.673981e-01	7.265547e-01	1.958663e+00	1.961227e+00	CRYZL2P-SEC16B;LINC02532
merged_Reactome_2022.gmt	Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364	1/15	2.127358e-01	6.602779e-01	6.444260e+00	9.973808e+00	TCF7
merged_Reactome_2022.gmt	Biological Oxidations R-HSA-211859	8/435	3.828715e-01	7.396512e-01	1.240167e+00	1.190629e+00	UGT2B15;CRYZL2P-SEC16B;ALDH1B1;UGT2B17;RXRA;TBXAS1;LINC02532;HSD17B3-AS1
merged_Reactome_2022.gmt	Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193	2/153	6.994423e-01	8.678564e-01	1.023846e+00	3.659963e-01	SLC35A1;CCR5AS
merged_Reactome_2022.gmt	Branched-chain Amino Acid Catabolism R-HSA-70895	3/41	2.681970e-02	4.172519e-01	5.693772e+00	2.060359e+01	ACAD8;ACADSB;BCAT1
merged_Reactome_2022.gmt	C-type Lectin Receptors (CLRs) R-HSA-5621481	6/279	2.805604e-01	6.966367e-01	1.484711e+00	1.887018e+00	IKBKB;MIF-AS1;MIR155HG;CCR5AS;NFATC2;PRKCA
merged_Reactome_2022.gmt	CD209 (DC-SIGN) Signaling R-HSA-5621575	1/39	4.632879e-01	7.527451e-01	2.423947e+00	1.865001e+00	PRKCA
merged_Reactome_2022.gmt	CD22 Mediated BCR Regulation R-HSA-5690714	1/11	1.608690e-01	6.277387e-01	8.901117e+00	1.626381e+01	PTPN6
merged_Reactome_2022.gmt	CD28 Co-Stimulation R-HSA-389356	2/66	2.804553e-01	6.966367e-01	2.416107e+00	3.071696e+00	PIK3R3;VAV1
merged_Reactome_2022.gmt	CD28 Dependent PI3K/Akt Signaling R-HSA-389357	1/44	5.044900e-01	7.773043e-01	2.144759e+00	1.467460e+00	PIK3R3
merged_Reactome_2022.gmt	CD28 Dependent Vav1 Pathway R-HSA-389359	1/23	3.070780e-01	7.070871e-01	4.151192e+00	4.901120e+00	VAV1
merged_Reactome_2022.gmt	CDC42 GTPase Cycle R-HSA-9013148	7/297	1.921024e-01	6.301040e-01	1.616863e+00	2.667382e+00	MAPK4;VANGL1;PRDM16-DT;MIRLET7BHG;GAS6-AS1;ARHGAP22;CAV1
merged_Reactome_2022.gmt	CLEC7A (Dectin-1) Induces NFAT Activation R-HSA-5607763	2/21	4.295487e-02	4.966929e-01	8.011001e+00	2.521547e+01	MAPK4;NFATC2
merged_Reactome_2022.gmt	CLEC7A (Dectin-1) Signaling R-HSA-5607764	3/195	5.983845e-01	8.116626e-01	1.129374e+00	5.799581e-01	NFATC2;IKBKB;MIR155HG
merged_Reactome_2022.gmt	COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434	1/154	9.149730e-01	9.915764e-01	6.042210e-01	5.369148e-02	MAPK4
merged_Reactome_2022.gmt	COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436	1/67	6.569444e-01	8.493747e-01	1.401236e+00	5.887375e-01	MAPK4
merged_Reactome_2022.gmt	COPI-mediated Anterograde Transport R-HSA-6807878	1/159	9.215389e-01	9.915764e-01	5.850029e-01	4.780078e-02	MAPK4
merged_Reactome_2022.gmt	CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720	2/23	5.069948e-02	5.031884e-01	7.265015e+00	2.166311e+01	MAPK4;PRKCA
merged_Reactome_2022.gmt	CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742	1/53	5.708698e-01	8.015995e-01	1.776230e+00	9.957441e-01	MAPK4
merged_Reactome_2022.gmt	CRMPs In Sema3A Signaling R-HSA-399956	2/31	8.589003e-02	5.572504e-01	5.292578e+00	1.299163e+01	MAPK4;MIR9-3HG
merged_Reactome_2022.gmt	CS/DS Degradation R-HSA-2024101	2/27	6.752176e-02	5.064551e-01	6.124096e+00	1.650631e+01	MAPK4;CSPG4
merged_Reactome_2022.gmt	Ca-dependent Events R-HSA-111996	3/69	9.601498e-02	5.842268e-01	3.291457e+00	7.712711e+00	ADCY9;PRKCA;MAPK4
merged_Reactome_2022.gmt	Ca2+ Activated K+ Channels R-HSA-1296052	1/15	2.127358e-01	6.602779e-01	6.444260e+00	9.973808e+00	MAPK4
merged_Reactome_2022.gmt	Ca2+ Pathway R-HSA-4086398	6/121	1.257579e-02	3.333077e-01	3.545835e+00	1.551651e+01	MAPK4;GNB4;TCF7;WNT5A;FZD2;PRKCA
merged_Reactome_2022.gmt	CaM Pathway R-HSA-111997	3/65	8.371184e-02	5.572504e-01	3.502861e+00	8.688408e+00	ADCY9;PRKCA;MAPK4
merged_Reactome_2022.gmt	CaMK IV-mediated Phosphorylation Of CREB R-HSA-111932	1/19	2.614067e-01	6.816829e-01	5.049827e+00	6.775241e+00	MAPK4
merged_Reactome_2022.gmt	Calcineurin Activates NFAT R-HSA-2025928	1/17	2.374582e-01	6.638849e-01	5.662532e+00	8.141384e+00	NFATC2
merged_Reactome_2022.gmt	Cap-dependent Translation Initiation R-HSA-72737	1/231	9.753946e-01	9.990393e-01	4.007096e-01	9.982931e-03	MIF-AS1
merged_Reactome_2022.gmt	Cardiac Conduction R-HSA-5576891	5/251	3.650427e-01	7.265547e-01	1.391231e+00	1.402000e+00	MAPK4;KCNJ2;NPPA;KCNK9;PRKCA
merged_Reactome_2022.gmt	Cargo Concentration In ER R-HSA-5694530	1/63	6.342787e-01	8.392114e-01	1.491235e+00	6.789098e-01	CRYZL2P-SEC16B
merged_Reactome_2022.gmt	Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825	3/207	6.386809e-01	8.399978e-01	1.062415e+00	4.763340e-01	MAPK4;WNT5A;GRK3
merged_Reactome_2022.gmt	Cargo Trafficking To Periciliary Membrane R-HSA-5620920	1/99	7.944749e-01	9.315917e-01	9.443905e-01	2.172796e-01	LINC01833
merged_Reactome_2022.gmt	Carnitine Metabolism R-HSA-200425	2/21	4.295487e-02	4.966929e-01	8.011001e+00	2.521547e+01	RXRA;PPARD
merged_Reactome_2022.gmt	Caspase Activation Via Dependence Receptors In Absence Of Ligand R-HSA-418889	1/19	2.614067e-01	6.816829e-01	5.049827e+00	6.775241e+00	MAPK4
merged_Reactome_2022.gmt	Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870	1/23	3.070780e-01	7.070871e-01	4.151192e+00	4.901120e+00	ADD1
merged_Reactome_2022.gmt	Cell Cycle Checkpoints R-HSA-69620	3/537	9.916819e-01	9.999323e-01	3.992413e-01	3.334837e-03	CHEK2;CENPT;MIF-AS1
merged_Reactome_2022.gmt	Cell Cycle R-HSA-1640170	16/1298	8.795380e-01	9.706649e-01	7.864176e-01	1.009434e-01	TFAP2A-AS1;LINC01806;MIF-AS1;MYBL2;LINC01833;GASAL1;CENPT;MAX;FOXD2-AS1;RRM2;FIRRE;PCAT6;E2F3;TERT;CHEK2;PRKCA
merged_Reactome_2022.gmt	Cell Cycle, Mitotic R-HSA-69278	10/1037	9.690431e-01	9.990393e-01	6.207284e-01	1.951954e-02	TFAP2A-AS1;LINC01806;MIF-AS1;MYBL2;CENPT;MAX;RRM2;E2F3;FOXD2-AS1;PRKCA
merged_Reactome_2022.gmt	Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998	3/147	4.114820e-01	7.398432e-01	1.508424e+00	1.339466e+00	SOS1;ARHGEF1;VAV1
merged_Reactome_2022.gmt	Cell Junction Organization R-HSA-446728	4/170	2.824582e-01	6.966367e-01	1.686804e+00	2.132500e+00	MAPK4;FLNB-AS1;PRDM16-DT;PVR
merged_Reactome_2022.gmt	Cell Surface Interactions At Vascular Wall R-HSA-202733	5/267	4.151287e-01	7.420747e-01	1.305302e+00	1.147578e+00	SDC3;PTPN6;SOS1;TNFRSF10D;CAV1
merged_Reactome_2022.gmt	Cell-Cell Communication R-HSA-1500931	6/238	1.765067e-01	6.301040e-01	1.750410e+00	3.035906e+00	MAPK4;PTPN6;PRDM16-DT;PTK2B;FLNB-AS1;PVR
merged_Reactome_2022.gmt	Cell-cell Junction Organization R-HSA-421270	2/120	5.684204e-01	8.015995e-01	1.311292e+00	7.407412e-01	MAPK4;PVR
merged_Reactome_2022.gmt	Cellular Response To Chemical Stress R-HSA-9711123	7/362	3.487446e-01	7.211655e-01	1.316577e+00	1.386903e+00	SIN3B;CYBB;MIF-AS1;MIR4458HG;SOD1;RXRA;TALDO1
merged_Reactome_2022.gmt	Cellular Response To Heat Stress R-HSA-3371556	2/197	8.212589e-01	9.499816e-01	7.915366e-01	1.558669e-01	HDAC6;SERPINH1
merged_Reactome_2022.gmt	Cellular Response To Starvation R-HSA-9711097	1/305	9.925632e-01	9.999323e-01	3.021155e-01	2.255165e-03	MIF-AS1
merged_Reactome_2022.gmt	Cellular Responses To Stimuli R-HSA-8953897	21/1461	7.080597e-01	8.705255e-01	9.201852e-01	3.176726e-01	CYBB;MIR155HG;TALDO1;HDAC6;CXXC1;KLF3-AS1;MEF2C;ADD1;MINK1;HDGF;MIF-AS1;LINC01108;E2F3;FOXD2-AS1;SIN3B;LINC01806;SOD1;MIR210HG;RXRA;PCAT6;SERPINH1
merged_Reactome_2022.gmt	Cellular Responses To Stress R-HSA-2262752	21/1433	6.743783e-01	8.589457e-01	9.399454e-01	3.703048e-01	CYBB;MIR155HG;TALDO1;HDAC6;CXXC1;KLF3-AS1;MEF2C;ADD1;MINK1;HDGF;MIF-AS1;LINC01108;E2F3;FOXD2-AS1;SIN3B;LINC01806;SOD1;MIR210HG;RXRA;PCAT6;SERPINH1
merged_Reactome_2022.gmt	Cellular Senescence R-HSA-2559583	4/321	7.501569e-01	9.016009e-01	8.773824e-01	2.522237e-01	FOXD2-AS1;E2F3;MINK1;MIF-AS1
merged_Reactome_2022.gmt	Centrosome Maturation R-HSA-380287	1/161	9.240214e-01	9.915764e-01	5.776510e-01	4.564600e-02	PRKCA
merged_Reactome_2022.gmt	Chaperone Mediated Autophagy R-HSA-9613829	1/39	4.632879e-01	7.527451e-01	2.423947e+00	1.865001e+00	MIR155HG
merged_Reactome_2022.gmt	Chaperonin-mediated Protein Folding R-HSA-390466	4/178	3.108209e-01	7.092247e-01	1.608779e+00	1.879920e+00	MAPK4;FBXW7;MIR3681HG;GNB4
merged_Reactome_2022.gmt	Chemokine Receptors Bind Chemokines R-HSA-380108	2/111	5.262302e-01	7.849632e-01	1.419756e+00	9.115067e-01	CCRL2;CCR6
