source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
FGR	KDSR-DT	FGR	KDSR-DT	0.1952	0.3446	0.3161	0.4392	0.0002
FGR	KHDC4	FGR	KHDC4	0.2558	0.1621	0.1750	0.1328	0.0891
FGR	KIAA0930	FGR	KIAA0930	0.1803	0.4557	0.4459	0.3778	0.0000
FGR	KIAA1217	FGR	KIAA1217	0.1467	-0.0758	-0.0227	-0.2825	0.4289
FGR	KIAA1549L	FGR	KIAA1549L	0.2283	-0.2196	-0.1487	-0.2425	0.0206
FGR	KIAA1671	FGR	KIAA1671	0.1581	0.1471	0.1438	0.2893	0.1233
FGR	KIF14	FGR	KIF14	0.1526	-0.1982	-0.1578	-0.2652	0.0371
FGR	KIF3C	FGR	KIF3C	0.3092	0.2833	0.2645	0.2941	0.0026
FGR	KIR2DP1	FGR	KIR2DP1	0.3328	0.1986	0.1571	0.3214	0.0367
FGR	KIR3DL2	FGR	KIR3DL2	0.1678	0.1391	0.1145	0.1866	0.1455
FGR	KISS1R	FGR	KISS1R	0.1699	-0.1260	-0.1530	-0.1674	0.1875
FGR	KLF15	FGR	KLF15	0.3152	0.0031	0.0477	0.0054	0.9746
FGR	KLF2	FGR	KLF2	0.1698	0.2259	0.2095	0.2278	0.0171
FGR	KLF3	FGR	KLF3	0.2233	0.3731	0.3906	0.8641	0.0001
FGR	KLF3-AS1	FGR	KLF3-AS1	0.2551	0.5078	0.5285	1.4455	0.0000
FGR	KLF6	FGR	KLF6	0.1617	0.0313	-0.0201	0.0333	0.7442
FGR	KLHDC7B	FGR	KLHDC7B	0.3169	0.4343	0.4107	0.5128	0.0000
FGR	KLHDC9	FGR	KLHDC9	0.2546	0.6122	0.5817	0.6501	0.0000
FGR	KLHL6-AS1	FGR	KLHL6-AS1	0.1878	-0.1564	-0.1623	-0.2224	0.1011
FGR	KLK14	FGR	KLK14	0.1793	0.2833	0.3091	0.2465	0.0026
FGR	KLRC1	FGR	KLRC1	0.2411	0.2487	0.2726	0.5000	0.0085
FGR	KMT2C	FGR	KMT2C	0.2517	-0.2086	-0.2416	-0.1337	0.0280
FGR	KMT5B	FGR	KMT5B	0.5151	0.4226	0.4330	0.1944	0.0000
FGR	KPNB1	FGR	KPNB1	0.2817	0.1721	0.1626	0.0883	0.0709
FGR	KPNB1-DT	FGR	KPNB1-DT	0.1775	0.3818	0.3859	0.3562	0.0000
FGR	KRBOX5	FGR	KRBOX5	0.2642	0.3855	0.3307	0.2598	0.0000
FGR	KRT18P40	FGR	KRT18P40	0.2329	0.2351	0.2224	0.2530	0.0130
FGR	KRT18P52	FGR	KRT18P52	0.3002	0.1217	0.1351	0.1322	0.2034
FGR	KRT18P7	FGR	KRT18P7	0.2047	-0.1920	-0.1552	-0.2370	0.0435
FGR	KRT8P15	FGR	KRT8P15	0.2865	0.0105	-0.0646	0.0120	0.9125
FGR	KRT8P46	FGR	KRT8P46	0.1956	0.0596	0.0355	0.0640	0.5346
FGR	KRTAP5-9	FGR	KRTAP5-9	0.3170	0.4138	0.4260	0.3788	0.0000
FGR	KRTCAP3	FGR	KRTCAP3	0.1759	0.3345	0.3130	0.3088	0.0003
FGR	KSR1	FGR	KSR1	0.4247	0.4022	0.4014	0.3020	0.0000
FGR	KYNU	FGR	KYNU	0.3525	0.6393	0.5969	0.4137	0.0000
FGR	LAMA5-AS1	FGR	LAMA5-AS1	0.1545	0.0827	0.0862	0.0900	0.3881
FGR	LARP4B	FGR	LARP4B	0.2114	0.4755	0.5019	0.2266	0.0000
FGR	LARP7	FGR	LARP7	0.1769	-0.0665	-0.0537	-0.0320	0.4880
FGR	LBX2	FGR	LBX2	0.1831	0.0114	-0.0590	0.0119	0.9057
FGR	LCK	FGR	LCK	0.3113	0.5068	0.5017	0.5055	0.0000
FGR	LCMT1	FGR	LCMT1	0.3110	0.5069	0.5482	0.2638	0.0000
FGR	LCMT1-AS1	FGR	LCMT1-AS1	0.2742	0.4049	0.3365	0.4801	0.0000
FGR	LCN12	FGR	LCN12	0.2040	0.4073	0.4238	0.3884	0.0000
FGR	LCTL	FGR	LCTL	0.2419	-0.2100	-0.2315	-0.1732	0.0269
FGR	LDAF1	FGR	LDAF1	0.2471	0.1020	0.1086	0.1146	0.2868
FGR	LDHAL6B	FGR	LDHAL6B	0.1930	-0.0419	0.0321	-0.0601	0.6622
FGR	LDHBP2	FGR	LDHBP2	0.2495	0.1474	0.1618	0.1882	0.1225
FGR	LDLRAD4	FGR	LDLRAD4	0.1524	-0.3661	-0.3588	-0.4053	0.0001
FGR	LDLRAP1	FGR	LDLRAP1	0.5663	0.6658	0.7017	0.6595	0.0000
FGR	LEFTY3P	FGR	LEFTY3P	0.2053	-0.0941	-0.1230	-0.0964	0.3261
FGR	LENG8-AS1	FGR	LENG8-AS1	0.3171	0.3666	0.3124	0.3748	0.0001
FGR	LETM1	FGR	LETM1	0.1837	0.2228	0.2607	0.1202	0.0188
FGR	LFNG	FGR	LFNG	0.4177	0.5923	0.6393	0.5025	0.0000
FGR	LGALS9C	FGR	LGALS9C	0.2158	0.2515	0.2407	0.4550	0.0077
FGR	LHFPL6	FGR	LHFPL6	0.1800	-0.2965	-0.3084	-0.8841	0.0016
FGR	LHPP	FGR	LHPP	0.1645	0.4093	0.4054	0.4363	0.0000
FGR	LILRA1	FGR	LILRA1	0.1990	0.2276	0.2440	0.4730	0.0163
FGR	LILRA2	FGR	LILRA2	0.2127	0.1320	0.1060	0.2801	0.1674
FGR	LILRA5	FGR	LILRA5	0.1879	0.1890	0.2116	0.4355	0.0470
FGR	LIMK1	FGR	LIMK1	0.2753	0.4245	0.3981	0.2522	0.0000
FGR	LIMS2	FGR	LIMS2	0.2647	0.4515	0.4280	0.6278	0.0000
FGR	LINC00051	FGR	LINC00051	0.1615	-0.2362	-0.2355	-0.2902	0.0126
FGR	LINC00324	FGR	LINC00324	0.2264	0.1142	0.1395	0.0991	0.2327
FGR	LINC00412	FGR	LINC00412	0.1636	0.2166	0.2285	0.2449	0.0224
FGR	LINC00428	FGR	LINC00428	0.2520	-0.1171	-0.1562	-0.1291	0.2209
FGR	LINC00449	FGR	LINC00449	0.1616	-0.0367	-0.0030	-0.0435	0.7018
FGR	LINC00494	FGR	LINC00494	0.2098	0.3934	0.3408	0.3236	0.0000
FGR	LINC00501	FGR	LINC00501	0.1485	0.2001	0.1933	0.2227	0.0352
FGR	LINC00574	FGR	LINC00574	0.2260	0.2639	0.2346	0.3763	0.0051
FGR	LINC00623	FGR	LINC00623	0.2033	0.2944	0.2349	0.3078	0.0017
FGR	LINC00680	FGR	LINC00680	0.3390	0.4563	0.4397	0.3926	0.0000
FGR	LINC00880	FGR	LINC00880	0.2069	0.0274	-0.0225	0.0365	0.7756
FGR	LINC00896	FGR	LINC00896	0.2098	0.1779	0.1657	0.2344	0.0617
FGR	LINC01118	FGR	LINC01118	0.3540	0.0535	0.0565	0.0529	0.5767
FGR	LINC01119	FGR	LINC01119	0.1975	0.1200	0.1423	0.1126	0.2095
